payment_id,vendor_id,invoice_number,payment_date,amount_inr,status
1464,V-0058,INV-0231,2026-05-12,705414.57,PAID
1465,V-0059,INV-0928,2024-07-20,739956.92,PAID
1466,V-0059,INV-0572,2024-10-25,367226.15,PAID
1467,V-0059,INV-0543,2025-01-16,775562.18,PAID
1468,V-0059,INV-0130,2025-05-10,530434.69,PAID
1469,V-0059,INV-0462,2025-07-27,545103.49,PAID
1470,V-0059,INV-0386,2025-10-21,434146.82,PAID
1471,V-0059,INV-0728,2026-01-27,416301.69,PAID
1472,V-0059,INV-0402,2026-05-03,461308.93,PAID
1473,V-0060,INV-0590,2024-08-01,1084529.51,PAID
1474,V-0060,INV-0240,2024-10-17,684000.60,PAID
1475,V-0060,INV-0916,2025-01-27,925032.10,PAID
1476,V-0060,INV-0921,2025-05-01,917129.48,PAID
1477,V-0060,INV-0491,2025-08-01,511139.88,PAID
1478,V-0060,INV-0657,2025-11-07,736697.51,PAID
1479,V-0060,INV-0679,2026-02-06,726682.42,PAID
1480,V-0060,INV-0284,2026-04-30,756139.40,PAID
